Kollam,27,8.8932118,76.6141396,68
Kottayam,27,9.5915668,76.5221531,21
Thrissur,27,10.5276416,76.2144349,66
A lot,19,23.76214,75.55991,28
Chhindwara,19,22.057437,78.9381729,46
Dewas,19,22.96,76.06,28
Indore(F&V),19,22.7195687,75.8577258,28
Jabalpur,19,23.166667,79.933333,30
Lashkar,19,26.1973344,78.1684973,24
Ratlam,19,23.3341696,75.0376325,28
Sagar,19,23.838805,78.7378068,59
Amrawati(Frui & Veg. Market),2,20.9374238,77.7795513,46
Chandvad,2,20.329167,74.244444,75
Devala,2,19.5775185,77.053568,76
Dindori,2,22.9417931,81.0768455,30
Dindori(Vani),2,20.2,73.833056,75
Gangapur,2,19.6975252,75.0105028,44
Kalvan,2,18.2913574,73.2735875,44
Kolhapur,2,16.6913076,74.2448662,48
Lasalgaon,2,20.15,74.24,44
Manmad,2,20.2511789,74.4366016,75
Mumbai,2,19.0759837,72.8776559,44
Nandgaon,2,18.3855337,72.9276008,44
Nasik,2,19.9974533,73.7898023,44
Osmanabad,2,18.1860659,76.0419409,18
Pathardi,2,19.17,75.18,44
Pimpalgaon Baswant(Saykheda),2,20.1699678,73.9873787,75
Pune(Hadapsar),2,18.5204303,73.8567437,44
Pune(Khadiki),2,18.5204303,73.8567437,44
Rahuri,2,19.392678,74.6488264,44
"Sangli(Phale, Bhajipura Market)",2,16.867,74.567,18
Satana,2,20.598224,74.2032581,75
Sinner,2,19.85,74,44
Solapur,2,17.6599188,75.9063906,18
Vashi New Mumbai,2,19.0770644,72.9989925,44
Yeola,2,20.042,74.489,44
Azadpur,5,28.7031438,77.1772288,16
Keshopur,5,28.6518338,77.0809093,16
Shahdara,5,28.6888393,77.2674795,16
Angul,23,20.8444033,85.1510818,14
Balugaon,23,20.1783322,85.1129236,10
Bampada,23,19.3939238,84.0867636,71
Bargarh,23,21.33,83.62,60
Bargarh(Barapalli),23,21.33,83.62,60
Betnoti,23,21.735503,86.849928,14
Bhadrak,23,21.0582737,86.4958396,14
Bhanjanagar,23,19.93,84.58,10
Boudh,23,20.828446,84.3271305,60
Champua,23,22.0649923,85.6666046,58
Chandabali,23,20.7739916,86.7436951,14
Deogarh,23,21.53,84.73,58
Dhenkanal,23,20.67,85.6,14
Digapahandi,23,19.3777377,84.5667665,10
Dungurapalli,23,21.0475445,83.5509886,60
Hinjilicut,23,19.48,84.75,10
Jagatsinghpur,23,20.2548998,86.1706221,10
Jeypore,23,18.865278,82.573056,71
Jeypore(Kotpad),23,18.865278,82.573056,71
Karanjia,23,21.7633498,85.9738752,58
Keonjhar,23,21.5151196,85.684578,14
Keonjhar(Dhekikote),23,21.5151196,85.684578,14
Khariar Road,23,20.899,82.509,54
Kuchinda,23,21.7427571,84.3489467,60
Nimapara,23,20.0536724,86.0070547,10
Parlakhemundi,23,18.8583919,84.214624,71
Rayagada,23,19.17,83.42,71
Sakhigopal,23,19.9463746,85.8138024,10
Talcher,23,20.9501027,85.216816,14
Udala,23,21.57,86.57,14
Abohar,3,30.1452928,74.1993043,6
Adampur,3,31.4329486,75.713901,41
Amritsar(Amritsar Mewa Mandi),3,31.6339793,74.8722642,5
Anandpur Sahib,3,31.2344015,76.5054652,11
Baghapurana,3,30.6856791,75.0940031,6
Balachaur,3,31.0578788,76.3000419,41
Banga,3,31.1826479,75.9970994,41
Banur,3,30.5593402,76.6991907,11
Barnala,3,30.3819446,75.5467979,41
Bassi Pathana,3,30.6861187,76.4042404,11
Bathinda,3,30.210994,74.9454745,6
Bhucho,3,30.213222,75.0903154,6
Budalada,3,29.9266932,75.5541854,6
Chamkaur Sahib,3,30.8927397,76.4129198,11
Dasuya,3,31.813226,75.6637375,17
Dera Bassi,3,30.5872,76.8428,49
Dhuri,3,30.37,75.87,41
Dinanagar,3,32.1265656,75.4636031,5
Doraha,3,30.8039183,76.0333885,41
Fazilka,3,30.4036478,74.0279621,6
Ferozepur Cantt.,3,30.9107385,74.6224755,5
Firozepur City,3,31.1448666,75.9586615,41
Garh Shankar,3,31.2167,76.1333,41
Ghanaur,3,30.3320205,76.6110085,11
Goniana,3,30.3191305,74.9146364,6
Goraya,3,31.1240175,75.777846,41
Gurdaspur,3,32.0333,75.4,5
Guru Har Sahai,3,30.717046,74.416383,6
Jagraon,3,30.78,75.48,41
Jalalabad,3,27.7180417,79.6558242,34
Jalandhar City,3,31.3260152,75.5761829,41
Kapurthala,3,31.38,75.38,5
Khamano,3,30.82,76.35,11
Khanauri,3,29.8376986,76.1116997,26
Khanna,3,30.697852,76.2112286,41
Kharar,3,30.7488819,76.6413581,11
Kotkapura,3,30.5913084,74.811534,6
Kurali,3,30.83,76.57,11
Lalru,3,30.486667,76.800556,49
Lehra Gaga,3,29.94,75.81,26
Ludhiana,3,30.900965,75.8572758,41
Machhiwara,3,30.91,76.2,41
Malout,3,30.19,74.499,6
Moga,3,30.8164603,75.1717093,6
Morinda,3,30.79,76.5,11
Mukerian,3,31.9562897,75.6168408,17
Mukerian(Talwara),3,31.9562897,75.6168408,17
Muktsar,3,30.475,74.515,6
Nabha,3,30.3736743,76.1451904,41
Phagwara,3,31.2240198,75.7708013,41
Phillaur,3,31.0130661,75.7894716,41
Phillaur(Apra Mandi),3,31.0130661,75.7894716,41
Quadian,3,31.82,75.39,5
Rajpura,3,30.483997,76.5939516,11
Raman,3,29.950398,74.961948,6
Rampura Phul,3,30.2758165,75.2420722,6
Rampuraphul(Nabha Mandi),3,30.2758165,75.2420722,6
Samrala,3,30.8356679,76.1910284,41
Sardulgarh,3,29.6949451,75.2352171,6
Sirhind,3,30.6159636,76.3810922,11
Sunam,3,30.1251635,75.8137192,41
Talwandi Sabo,3,29.983611,75.082778,6
Tanda Urmur,3,31.6725491,75.6377148,5
Tapa,3,30.298056,75.368889,6
Zira,3,30.97,74.99,5
Alwar(FV),20,27.5529907,76.6345735,22
Chomu(F&V),20,27.17,75.72,31
Janta Market,20,26.9330364,75.8294273,31
Jodhpur(F&V)(Bhadwasia),20,26.2389469,73.0243094,33
Pratapgarh,20,25.8973038,81.9452981,69
Gudimalkapur,32,17.3787821,78.4374024,76
Hyderabad (F&V),32,17.385044,78.486671,76
Shankarapally,32,17.4553645,78.1311666,76
Ahirora,17,26.4329003,80.3227487,34
Aliganj,17,26.904054,80.9452724,40
Aligarh,17,27.9,78.08,2
Allahabad,17,25.4358011,81.846311,57
Auraiya,17,26.47,79.52,34
Azamgarh,17,26.0737044,83.1859458,69
Bachranwa,17,26.471033,81.112712,40
Bahraich,17,27.58,81.6,40
Ballia,17,25.7584381,84.1487319,50
Banda,17,25.483333,80.333333,34
Baraut,17,29.0998902,77.2606149,16
Bareilly,17,28.3670355,79.4304381,25
Basti,17,26.8176796,82.7633133,69
Bijnaur,17,26.7426394,80.901416,40
Chandoli,17,27.5112073,81.2229672,40
Charra,17,27.926672,78.398524,2
Etawah,17,26.8117116,79.0046898,24
Faizabad,17,26.77,82.15,40
Fatehpur,17,25.9200736,80.8099941,34
Fatehpur Sikri,17,27.0945291,77.6679292,2
Firozabad,17,27.1591006,78.3957574,2
Gazipur,17,27.9544223,78.305268,2
Ghaziabad,17,28.6691565,77.4537578,16
