index,sourceid,pagenumber,pos_on_page,exact_url,hash_url,opinion_section
1,15,6,1,http://profit.ndtv.com/news/industries/article-ban-on-holding-onion-stock-beyond-limit-extended-report-777195,9cd6989561cfa629680332107a72c01f,No
2,15,6,2,http://www.ndtv.com/india-news/food-inflation-spikes-govt-blames-the-onion-442821,60b801b099ed9dd44c0da1901cab8893,No
3,15,6,3,http://profit.ndtv.com/news/industries/article-government-removes-minimum-export-price-on-onions-382178,9e54f679ec78e36137e99e8ad5e598d0,No
4,15,6,4,http://www.ndtv.com/mumbai-news/mumbai-trader-sells-onions-at-rs-12-per-kg-443770,b05595d1b2b49c64b52c273a84621427,No
5,15,6,5,http://www.ndtv.com/india-news/chief-ministers-onion-mission-begins-in-assam-538929,317678a60ac8d4516434c876abc5fb7d,No
6,15,6,6,http://www.ndtv.com/india-news/tomato-prices-compete-with-onions-445259,369dac9f3576283d54258821c1eab633,No
7,15,6,7,http://profit.ndtv.com/news/economy/article-wholesale-inflation-rises-to-0-73-on-costlier-food-articles-1265676,973bc4aa67b680907bebe03643b64198,No
8,15,6,8,http://www.ndtv.com/world-news/pakistan-bans-onion-export-to-india-report-444138,568fe7e4faee9a2d3ac58c0a87d98e34,No
9,15,6,9,http://www.ndtv.com/opinion/on-onion-prices-modi-governments-got-it-wrong-1210711,f8fede674e83ec080b0a9e4804ba8f5d,Yes
10,15,6,10,http://www.ndtv.com/india-news/rice-prices-may-reach-boiling-point-in-coming-months-1243574,0e5ae49c58a300d80e14c905b932509c,No
11,15,1,1,http://www.ndtv.com/india-news/government-moves-to-check-rising-onion-prices-but-people-still-feel-the-pinch-1209956,10ad6d6303f350665df76afac99dd373,No
12,15,1,2,http://www.ndtv.com/india-news/why-onion-prices-are-so-high-442629,0aaad51b8ed64267ac4be34e0fb96c13,No
13,15,1,3,http://www.ndtv.com/india-news/afghan-imports-bring-down-onion-price-in-indian-wholesale-markets-535274,e32ab456dc5e7238cdb139a9bc5d33b2,No
14,15,1,4,http://www.ndtv.com/india-news/onion-prices-remain-high-at-rs-60-kg-in-delhi-wholesale-rates-soften-531528,bc27448b372e5f4bb6c347230228e749,No
15,15,1,5,http://www.ndtv.com/india-news/centre-says-tomato-onion-prices-will-ease-soon-1244444,9f7e721ec19635388b1b5c8291acfcb2,No
16,15,1,6,http://food.ndtv.com/food-drinks/after-onions-pulses-now-face-a-steep-price-rise-1216518,d892e3423134804a212b97ba2eea94f6,No
17,15,1,7,http://www.ndtv.com/india-news/government-slashes-minimum-export-price-of-onions-to-400-ton-1253574,a97781200b2281d6d491400ec83a3f0f,No
18,15,1,8,http://www.ndtv.com/india-news/as-prices-soar-700-kg-of-onion-stolen-from-a-market-in-mumbai-1210039,328bfbc8458edc0a173533acb5667fcf,No
19,15,1,9,http://profit.ndtv.com/news/economy/article-onion-prices-near-2-year-highs-on-weak-monsoon-rains-784625,52ff1e90782a0cfe10ea24483f238a52,No
20,15,1,10,http://www.ndtv.com/india-news/government-scraps-minimum-export-price-on-onions-1258847,ecd69054dec8750e35c22f024c52a869,No
21,15,5,1,http://www.ndtv.com/india-news/behind-the-onion-price-spike-a-cartel-of-traders-in-a-maharashtra-town-538899,4a2b8b2a3f6f6dbd03c67bb31040a36b,No
22,15,5,2,http://food.ndtv.com/food-drinks/consumer-affairs-minister-directs-importing-1-000-tonnes-of-onions-1216490,24a0ede3560914d8954cc69bc91db033,No
23,15,5,3,http://www.ndtv.com/india-news/new-onion-crop-will-lower-prices-soon-says-pawar-444599,7ae5e579b0d3bb2cc79873eadc14ed4e,No
24,15,5,4,http://www.ndtv.com/delhi-news/onion-sells-at-rs-40-kg-in-national-capital-region-on-drought-fears-584059,f4b95a5ca675d040fb955d747684e8df,No
25,15,5,5,http://food.ndtv.com/food-drinks/food-price-surge-puts-rajan-on-the-back-foot-774098,274ce5509cc9f8da23d2568d36e10946,No
26,15,5,6,http://www.ndtv.com/india-news/price-rise-government-cracks-down-on-hoarders-will-sell-onions-at-wholesale-rates-582928,259354a88c4ebcd38aa36318842641e8,No
27,15,5,7,http://www.ndtv.com/india-news/how-cartels-politics-and-false-alarms-determine-onion-pricing-587556,f83b5cbe919a85dd663950d9057c42ae,No
28,15,5,8,http://www.ndtv.com/opinion/why-aap-ran-full-page-ads-when-accused-of-a-scam-1220014,584fff7204df4e029bc980db06ad7510,Yes
29,15,5,9,http://www.ndtv.com/india-news/government-to-procure-15-000-tons-onion-for-buffer-stock-1282910,7274f60c0ca2f9c0e23ccb256ff91904,No
30,15,5,10,http://www.ndtv.com/india-news/price-rise-situation-under-control-finance-minister-arun-jaitley-1217565,027d6f3c723b4d7a2f3a53e77b5eac8b,No
31,15,2,1,http://www.ndtv.com/india-news/west-bengal-slashes-onion-prices-in-state-run-outlets-1214364,081e4c3031c3dd0ba4e50a27f0c6deec,No
32,15,2,2,http://food.ndtv.com/food-drinks/tears-of-joy-delhi-government-to-sell-onions-for-rs-40-a-kg-at-fair-price-shops-1203994,6e5c5bddfc3fd75630e8823202c3ddc5,No
33,15,2,3,http://www.ndtv.com/india-news/onion-prices-sheila-dikshit-to-meet-sharad-pawar-kv-thomas-today-538766,1e79b35d45fa35fa32ac6f260a434118,No
34,15,2,4,http://profit.ndtv.com/news/industries/article-government-hikes-minimum-export-price-for-onion-775672,9d68d6aa1392df43fc7153a74592f070,No
35,15,2,5,http://www.ndtv.com/delhi-news/delhi-tomato-prices-skyrocket-to-rs-70-per-kg-onion-to-rs-40-per-kg-592888,4736659c31091ae5f6c1ac101bc4f2b0,No
36,15,2,6,http://profit.ndtv.com/news/economy/article-onion-prices-fall-300-in-4-months-wholesale-inflation-eases-380640,3e084236dd6d3e9ea00af86648a7bb81,No
37,15,2,7,http://profit.ndtv.com/news/economy/article-october-inflation-hits-8-month-high-as-onion-prices-soar-278-372313,39654bf7dca440fd975b64dd7242826f,No
38,15,2,8,http://www.ndtv.com/mumbai-news/wholesale-onion-prices-crash-retail-rates-to-follow-535312,8cc4585e06c87f9507ad61afc3100207,No
39,15,2,9,http://www.ndtv.com/delhi-news/with-new-crop-onion-prices-drop-by-rs-10-in-delhi-535475,73f93e4d91a7b551e7d45a68c01ab9ea,No
40,15,2,10,http://food.ndtv.com/food-drinks/here-we-go-again-onion-prices-rise-due-to-tight-supply-1237833,52533faa52f85f5e206f3278beca44bf,No
41,15,3,1,http://profit.ndtv.com/news/economy/article-food-inflation-doubles-in-november-on-costlier-pulses-onions-1254720,6a0d41656a7c3b893456287cee9ce022,No
42,15,3,2,http://www.ndtv.com/india-news/onion-prices-may-ease-when-south-india-crop-hits-market-government-533474,8e244de6b3dbee99cac848aa4d39b2e8,No
43,15,3,3,http://www.ndtv.com/delhi-news/to-control-onion-prices-delhi-government-begins-fair-price-shops-sale-1205941,95045a069ab5bde8ddc73bc1bf28df6e,No
44,15,3,4,http://food.ndtv.com/food-drinks/1-000-tonnes-of-onion-to-be-imported-from-overseas-1211885,4353ca95bf701ab9abd6ddd895568aa4,No
45,15,3,5,http://www.ndtv.com/delhi-news/kejriwal-government-makes-onion-cheaper-delhi-buys-30-000-kilograms-in-a-day-1207429,e1f453602e8a3e937a4453b9f3b031b1,No
46,15,3,6,http://www.ndtv.com/tamil-nadu-news/cheaper-onions-in-tamil-nadu-only-at-government-outlets-1213484,e286af486183602b8cd04e5bf0e995df,No
47,15,3,7,http://profit.ndtv.com/news/budget/article-rising-food-fuel-prices-hit-modi-government-before-budget-522384,d0ec4963129051425fef38f9204d5c50,No
48,15,3,8,http://www.ndtv.com/delhi-news/onions-rs-35-a-kg-govt-may-step-in-to-control-prices-512075,18d7f011143dbc1858b95205f64c72d1,No
49,15,3,9,http://profit.ndtv.com/news/industries/article-government-cuts-minimum-export-price-of-onion-753365,1fa31cc8084f4f7185818b7fa8b16081,No
50,15,3,10,http://www.ndtv.com/india-news/odisha-to-launch-onion-mission-to-give-loans-seeds-to-farmers-1203503,932c38c9aa57a9cc4bd19592961e7b62,No
51,15,8,1,http://profit.ndtv.com/news/economy/article-headline-inflation-771716,2da782f4b1833c3907aa43e31bec6fe4,No
52,15,8,2,http://www.ndtv.com/chennai-news/no-onion-rava-dosa-in-chennai-442578,62486d04ce8d54babe7127c07a15defa,No
53,15,8,3,http://profit.ndtv.com/news/industries/article-cabinet-may-consider-stock-limits-on-onion-potato-on-wednesday-574492,b0caf0e1d05a5451fc3b143e80fe0707,No
54,15,8,4,http://www.ndtv.com/india-news/4-000-kg-onions-stolen-in-rajasthan-2-held-1213117,9b1a6ff9cefc8a2f67838f760d0168fc,No
55,15,8,5,http://food.ndtv.com/food-drinks/global-food-prices-down-by-19-in-2015-says-fao-1264484,8e9b0d8b0b66651271490c9d13f556d1,No
56,15,8,6,http://food.ndtv.com/food-drinks/30-k-kilos-of-onions-sold-in-a-day-as-delhi-govt-slashes-rate-1208056,403b21eb5f12f64426902eb4dcf4a816,No
57,15,8,7,http://www.ndtv.com/cheat-sheet/poor-rainfall-could-cause-drought-like-conditions-in-parts-of-west-india-agriculture-minister-582801,7fae418668c1b9b143ae06ee7a96b0c2,No
58,15,8,8,http://food.ndtv.com/opinions/onions-delight-indian-tourists-in-thailand-694223,b6928c88ae22b5229fd71403ec790415,Yes
59,15,8,9,http://food.ndtv.com/food-drinks/world-food-commodity-prices-plunge-to-lowest-in-seven-years-1216214,71717608ed37e43ca55d0b4927d6b932,No
60,15,8,10,http://profit.ndtv.com/news/commodities/article-onion-prices-hit-record-high-selling-at-rs-80-kg-325721,391e58b5e4d9cc0c1421d917a0afdcb4,No
61,15,4,1,http://www.ndtv.com/india-news/onion-prices-jump-back-to-rs-80-per-kilogram-532357,7dae911cb79d0feaed56fcd79b72c9e8,No
62,15,4,2,http://profit.ndtv.com/news/economy/article-wholesale-onion-price-jumps-5-times-to-push-up-retail-rates-324600,f199570f0c26f2fa1424dd5610f02d23,No
63,15,4,3,http://www.ndtv.com/others-news/onion-thieves-strike-again-2-000-kg-stolen-in-nashik-1210449,c0f09746c71085d41d7bf274325cac15,No
64,15,4,4,http://www.ndtv.com/india-news/maharashtra-how-political-ambitions-fuel-rising-onion-prices-586873,e6abd06445834e47f72daa248fa8eaff,No
65,15,4,5,http://www.ndtv.com/india-news/onion-ban-lifted-politics-vs-prices-468166,90f0977570217fb4ba66f5acf08da999,No
66,15,4,6,http://food.ndtv.com/food-drinks/after-onions-tomatoes-price-of-peas-jumps-to-all-time-high-1244757,3baaf01040b23fcec72ec5f6306e2010,No
67,15,4,7,http://www.ndtv.com/india-news/steep-fall-in-onion-prices-in-last-two-weeks-542968,6c6b486f51f1a38a0323ce4bd73ba86b,No
68,15,4,8,http://www.ndtv.com/mumbai-news/onion-follows-dal-off-the-table-as-prices-go-up-1244115,b0d960939e19fcd07f942116a97057cc,No
69,15,4,9,http://www.ndtv.com/mumbai-news/shortage-of-onion-supply-fuels-spike-in-prices-512204,24581f395ff93db6dbbe3d64fabdd4fa,No
70,15,4,10,http://profit.ndtv.com/news/industries/article-onion-prices-shoot-up-no-relief-in-sight-574345,8a5853179ddf3295ad3f8549f4f14fb5,No
71,15,9,1,http://www.ndtv.com/hyderabad-news/to-get-this-pungent-prize-carry-your-aadhar-card-in-telangana-1217868,03314f9641c37d46231379aa9e254bda,No
72,15,9,2,http://www.ndtv.com/india-news/rajasthan-records-bumper-onion-production-but-why-are-consumers-still-crying-583560,27eb70c0be65ea58b46e36c55183b7f5,No
73,15,9,3,http://profit.ndtv.com/news/economy/article-rising-vegetable-prices-to-push-up-wpi-inflation-nomura-325880,45dc9dba070fc127ae1ea65817a9fbd7,No
74,15,9,4,http://profit.ndtv.com/news/industries/article-government-relaxes-norms-for-onion-imports-370294,d5028c88ba3234d0a5450f252f7a3623,No
75,15,9,5,http://www.ndtv.com/delhi-news/delhi-congress-protests-against-price-rise-outside-arvind-kejriwals-residence-1212518,2858a60b4d331165e2f4d97a85be3af8,No
76,15,9,6,http://profit.ndtv.com/news/industries/article-costly-tomatoes-push-up-demand-for-puree-ketchup-survey-1245665,5cb2603cea34b874a4edbeb65d7a9448,No
77,15,9,7,http://www.ndtv.com/india-news/vegetable-prices-soar-in-delhi-other-cities-474910,a1d5a933728e7a9b50650d5d39e601b2,No
78,15,9,8,http://food.ndtv.com/lists/onion-crisis-now-cook-superb-indian-food-without-onions-1210894,565a001ba53dca2b6adc93c3f0c77c2e,No
79,15,9,9,http://www.ndtv.com/india-news/buy-a-tyre-get-onion-for-free-442675,201d096d770cab1667061d2e4aeec79b,No
80,15,9,10,http://www.ndtv.com/india-news/bjp-slams-government-over-split-views-on-inflation-444119,658221a68c3d9efd88d28443f8f3f86c,No
81,15,7,1,http://profit.ndtv.com/news/cheat-sheet/article-why-onion-prices-are-inching-towards-rs-100-per-kg-370138,f5ad8318142dcc5ee7ab461df9ba14d2,No
82,15,7,2,http://www.ndtv.com/india-news/food-inflation-high-as-vegetable-prices-rise-444245,50a446a708361f7ad38b825bee62e783,No
83,15,7,3,http://food.ndtv.com/food-drinks/unseasonal-rain-drives-up-prices-of-veggies-in-delhi-744537,687f017ab7ee90196921b721801aa800,No
84,15,7,4,http://profit.ndtv.com/news/economy/article-onions-diesel-push-up-inflation-to-7-month-high-another-bank-rate-hike-soon-369435,c1c1d78d5b6f77b6e23058a122e36aff,No
85,15,7,5,http://food.ndtv.com/food-drinks/onion-prices-rise-despite-imports-from-afghanistan-and-pakistan-1210774,a2d62def164d1d8fe4ea2b56bf511542,No
86,15,7,6,http://www.ndtv.com/india-news/rjd-chief-lalu-prasad-asks-prime-minister-modi-to-check-onion-prices-1210148,1f4d664939751a391ea464f856834511,No
87,15,7,7,http://www.ndtv.com/delhi-news/pm-modi-delhi-chief-minister-kejriwal-2-sides-of-same-coin-congress-on-onion-price-hike-1210598,b96a14da375a7957c9c211e83a3ae196,No
88,15,7,8,http://food.ndtv.com/food-drinks/rising-food-prices-to-hit-rural-india-in-2016-1242132,05ba095de841c2774595fd08e479364f,No
89,15,7,9,http://www.ndtv.com/india-news/40-rain-deficit-in-madhya-pradesh-onion-farmers-worried-586576,84c3f01fbc86b666efcd0763d35ae9e5,No
90,15,7,10,http://profit.ndtv.com/news/industries/article-cabinet-may-extend-ban-on-onion-hoarding-by-1-year-report-776836,697806ba0a9c427d92b808083a25ac04,No
