index,source_id,page_number,pos_on_page,exact_url,article_hash_url,opinion_section
59,5,8,9,http://indianexpress.com/article/opinion/columns/bad-cure-for-a-racing-pulse/,6b3232866d99bca738280a858401b73a,yes
60,5,8,10,http://www.newindianexpress.com/business/news/Indias-Inflation-Eases-Relief-for-Modi-Government/2014/07/14/article2330545.ece,b5aaf85e946dabf9a566bdafabd0cfa8,no
61,5,4,1,http://www.newindianexpress.com/business/news/Onions-Too-Expensive-Process-Them-Into-Paste-And-Use-Minister/2015/08/23/article2989409.ece,e3cbb0e541700913547a21ef78606290,no
62,5,4,2,http://www.newindianexpress.com/business/news/Now-Tomato-Prices-hit-Roof-Government-Banking-on-New-Crops/2015/11/17/article3133168.ece,c44b567cecee5ade3e9dba2fd0d0769a,no
63,5,4,3,http://www.newindianexpress.com/business/news/Government-Cuts-Minimum-Export-Price-of-Onion-to--250Tonne/2015/04/08/article2754437.ece,079119a63d859bbf24347cd7d1af3c1d,no
64,5,4,4,http://indianexpress.com/article/cities/chandigarh/market-committee-begins-onion-sale-in-chandigarh/,9391ce818182322dd40e8974870d21ed,no
65,5,4,5,http://www.newindianexpress.com/nation/Pakistani-onions-bring-down-prices-in-Kashmir/2013/10/26/article1857140.ece,b03433e08156c3f62101c4ecbeac6083,no
66,5,4,6,http://indianexpress.com/article/cities/mumbai/facility-to-increase-shelf-life-of-onions-lies-unused-in-nashik/,e618ae26f5671efb9d4f958c3862b60a,no
67,5,4,7,http://www.newindianexpress.com/business/news/Wholesale-onion-prices-down-by-Rs-5kg/2013/09/21/article1796293.ece,5b0d348cbb664b8591a7f017f5c5e933,no
68,5,4,8,http://indianexpress.com/article/business/business-others/food-prices-spurt-in-december-inflation-up-at-0-73/,5b6980bd636672b20ac2f3ac582438bc,no
69,5,4,9,http://www.newindianexpress.com/states/andhra_pradesh/With-Onion-Prices-Skyrocketing-AP-Plans-to-Increase-Production/2015/08/13/article2971609.ece,2fdcbace45fca210d7fef9d2b2cad5fc,no
70,5,4,10,http://www.newindianexpress.com/business/news/Onion-Exports-Fall-10-to-6.95-Lakh-Tonnes-in-April-December/2016/03/27/article3348913.ece,f26c260b915ecdf6dfd5e7075cce4a77,no
71,5,7,1,http://indianexpress.com/article/india/india-others/reverse-of-onions-potato-farmers-at-receiving-end-as-prices-crash/,8d4704a55f3f50af056965d27ba9a04c,no
72,5,7,2,http://www.newindianexpress.com/thesundaystandard/How-AAP-Used-Onion-to-Make-Delhi-Cry/2015/09/06/article3012317.ece,ce39d7429130b2f2e14a73bb27203a5b,no
73,5,7,3,http://indianexpress.com/article/explained/is-dal-the-new-pyaaz/,9cbb00e3029153d43d39385bccfa9100,no
74,5,7,4,http://www.newindianexpress.com/states/odisha/Short-Supply-Pushes-Onion-Price-Upwards/2015/06/02/article2844873.ece,139224bd4fe1616a469951fdafb165bc,no
75,5,7,5,http://www.newindianexpress.com/cities/hyderabad/Onion-Prices-Likely-to-Go-Up-Further/2015/08/22/article2987277.ece,6a10c6a0a6d13bbe0f7788509579aa05,no
76,5,7,6,http://indianexpress.com/article/cities/delhi/cong-protests-outside-cm-arvind-kejriwals-residence-over-rising-prices-of-onions/,c98aebee4958a2d705308ccdaf150ece,no
77,5,7,7,http://indianexpress.com/article/cities/mumbai/maharashtra-govt-to-form-squads-to-prevent-hoarding-of-onions/,08a472301df76c1ed76a9f38e3deff0b,no
78,5,7,8,http://www.newindianexpress.com/cities/hyderabad/Distressed-Onion-growers-Descend-on-Hyderabad-With-Truckloads-of-Hope/2016/03/07/article3314355.ece,7f04747d805aeff0f7fff363051c8515,no
79,5,7,9,http://www.newindianexpress.com/business/news/Lower-Fuel-Prices-Bring-Down-Indias-Wholesale-Inflation-Further/2015/03/16/article2716486.ece,edfaae93a9e831eb0188a02b8a081b0e,no
80,5,7,10,http://www.newindianexpress.com/states/telangana/Plummeting-Onion-Prices-Cause-Tears-to-Farmers/2016/03/24/article3343471.ece,d20d6c4671291e8653702bd77230080f,no

1,6,1,1,http://www.dnaindia.com/money/report-onion-prices-skyrocket-cross-rs-80-in-some-markets-2116424,f19f687495df156349ea49f040ceef99,no
2,6,1,2,http://www.dnaindia.com/money/report-government-scraps-minimum-export-price-on-onion-to-boost-shipments-2159270,356ab5f53d3dffd743c55d21263dc79c,no
3,6,1,3,http://www.dnaindia.com/money/report-govt-slashes-minimum-export-price-of-onions-to-400-per-ton-from-700-a-ton-2154320,ed01bbb1c9a5fdbf71d5f8e5b0428976,no
4,6,1,4,http://www.dnaindia.com/india/report-as-onion-rates-rise-twitter-flooded-with-teary-jokes-on-the-vegetable-price-rise-1874070,d174bbf32333b3cfa0722bf7a604c1ed,no
5,6,1,5,http://www.dnaindia.com/mumbai/report-even-though-onion-prices-have-stabilised-more-price-hikes-inevitable-2120237,e2e91b530bcec7269d4074ee0389ec18,no
6,6,1,6,http://www.dnaindia.com/money/report-government-expects-tomato-onion-prices-to-moderate-soon-2146233,0ce9b6995b97abf29a168201b35918a4,no
7,6,1,7,http://www.dnaindia.com/india/report-onion-prices-rise-to-rs-55-60kg-hike-bring-tears-in-eyes-of-people-1873151,714027740f0b6d852e1fe101fdb0347a,no
8,6,1,8,http://www.dnaindia.com/india/report-delhi-govt-to-sell-onions-at-rs-40-a-kg-at-fair-price-shops-2111150,999feedca48f7c7608d911610499a2f1,no
