index,sourceid,pagenumber,pos_on_page,exact_url,hash_url,opinion_section
1,2,6,1,http://www.thehindu.com/business/Economy/higher-food-prices-push-inflation-to-sevenmonth-high-of-646-per-cent/article5233161.ece,6ff1c0c7289a7789c2a2fc1f42a8c25d,No
2,2,6,2,http://www.thehindu.com/business/Economy/govt-hikes-onion-mep-to-500-per-tonne/article6169766.ece,27905f62746734d7770073f8e44f3ce4,No
3,2,6,3,http://www.thehindu.com/news/national/telangana/dip-in-onion-price-ryots-at-the-receiving-end/article8294389.ece,05f2db4591749ddee4ccc81c41d1c7d0,No
4,2,6,4,http://www.thehindu.com/news/national/other-states/facing-risks-and-losses-onion-farmers-shift-to-other-crops-in-maharashtra/article6365341.ece,c8b86a83c4b7aceaeb305468a6d3b223,No
5,2,6,5,http://www.thehindu.com/business/Economy/wholesale-prices-drop-for-12th-straight-month-in-oct/article7883432.ece,4c7976c0e300d6bee9199c00d2b6bf5f,No
6,2,6,6,http://www.thehindu.com/news/national/karnataka/onion-growers-in-tears-as-prices-crash/article8417823.ece,90c5533b9988678883608416e6cdf8da,No
7,2,6,7,http://www.thehindu.com/news/national/other-states/thanks-to-fresh-supplies-onion-prices-fall/article7763171.ece,7dafed28d180756e45be966b047bd752,No
8,2,6,8,http://www.thehindu.com/business/Economy/food-inflation-benign-despite-two-straight-years-of-weak-monsoons/article7758029.ece,102410c316b826e3427a8164d31e9841,No
9,2,6,9,http://www.thehindu.com/news/national/tamil-nadu/onion-prices-continue-to-rise/article7589089.ece,cb8b6276ac20bd3a178bece42cbfc11d,No
10,2,6,10,http://www.thehindu.com/news/cities/Tiruchirapalli/onion-glut-triggers-price-crash-in-tiruchi/article5813771.ece,29d9c55c34291c22ac99dfdec34a49c4,No
11,2,10,1,http://www.thehindu.com/news/national/other-states/curbs-on-onion-trade-leave-nashik-farmers-in-tears/article6345348.ece,01b885aa7849adb156e6ede2dbae887c,No
12,2,10,2,http://www.thehindu.com/news/national/govt-to-import-10000-tonnes-onion-from-pakistan-china/article7470369.ece,f56f607d42d2adfac94a5557437268c9,No
13,2,10,3,http://www.thehindu.com/news/national/tamil-nadu/prices-of-shallot-shoot-up-as-arrivals-dwindle/article7327624.ece,b2ecac9f01f43ef40f925ffc411395c4,No
14,2,10,4,http://www.thehindu.com/business/agri-business/india-may-need-to-import-10-million-tonnes-of-pulses/article7827539.ece,d331c6ab733cd9dc1b51ad194e61bd40,No
15,2,10,5,http://www.thehindu.com/news/cities/Delhi/onions-in-short-supply-at-fps/article7573452.ece,ce2b636eb2c83aae2854167d1b6664fb,No
16,2,10,6,http://www.thehindu.com/news/cities/Tiruchirapalli/farmers-in-tears-as-onion-price-crashes/article2811962.ece,a6e66105f9247547a36e96e8414028b0,No
17,2,10,7,http://www.thehindu.com/todays-paper/tp-national/consumer-affairs-dept-has-no-concrete-power-paswan/article7901812.ece,afdf4fd825c524fd68b7a2e76e00f2fa,No
18,2,10,8,http://www.thehindu.com/business/act-swiftly-against-hoarders-pranab/article1051003.ece,87f511eda2c9639151691f79851fbabf,No
19,2,10,9,http://www.thehindu.com/news/cities/Coimbatore/price-forecast-for-maize-small-onions-gingelly-groundnuts/article4880222.ece,6ac52e5ca2742234063a21574d6a7331,No
20,2,1,1,http://www.thehindu.com/business/wholesale-onion-prices-jump-to-rs-57kg-at-lasalgaon/article7569174.ece,0515a84d2154a7a68d16912662d1818d,No
21,2,1,2,http://www.thehindu.com/opinion/editorial/slipping-on-onion-prices/article5272988.ece,84e01cac94d980a9b37be91f72f17ae3,Yes
22,2,1,3,http://www.thehindu.com/news/cities/Delhi/bjp-sniffs-an-onion-price-scam/article7669726.ece,a2292ea403d545dbf4e42eae19a820fe,No
23,2,1,4,http://www.thehindu.com/business/after-onions-tomato-prices-soar-50-per-cent-at-rs-62-per-kg/article7888164.ece,7ba8826b0b9eeaf2a71c0680775d5900,No
24,2,1,5,http://www.thehindu.com/business/govt-mulls-importing-onions-to-control-price-rise/article7363803.ece,f7011760215ac46def0e0a57fb145327,No
25,2,1,6,http://www.thehindu.com/business/Economy/maharashtra-govt-wants-onion-mep-to-go-as-price-falls-to-rs-10kg/article7961730.ece,0c0435732fbb65526721ba3e5851a189,No
26,2,1,7,http://www.thehindu.com/business/markets/imported-onion-arrival-brings-down-wholesale-prices/article5149911.ece,da0ed905b45c257c5540849bba06bc0d,No
27,2,1,8,http://www.thehindu.com/news/cities/Delhi/wholesale-onion-prices-see-a-dip/article7592374.ece,48592aa3e7ba8afd33d8acfa116881cc,No
28,2,1,9,http://www.thehindu.com/news/cities/bangalore/onion-price-up-by-rs-10-per-kg/article6127397.ece,c133d6765e8a0a1d0b839bc32b4586c3,No
29,2,1,10,http://www.thehindu.com/business/Economy/onion-exports-fall-18-during-aprilseptember-on-govt-restrictions/article8029234.ece,2069ab883afb73343ec53fcc29873a5d,No
30,2,5,1,http://www.thehindu.com/news/cities/bangalore/unseasonal-rain-drives-up-vegetable-price/article7883134.ece,b1fbdecb10909b27793d61bcedc901e4,No
31,2,5,2,http://www.thehindu.com/news/national/other-states/odisha-to-launch-onion-mission-to-give-loans-seeds-to-farmers/article7495814.ece,3257aaf36faa68ca8a8445319b967b03,No
32,2,5,3,http://www.thehindu.com/news/cities/Madurai/exports-jack-up-onion-prices-in-dindigul-market/article5051599.ece,f947b4afec124928fb97544bbc9fe42d,No
33,2,5,4,http://www.thehindu.com/news/cities/mumbai/robbers-eye-pricey-onion-700-kg-stolen-in-mumbai/article7571801.ece,93642121e83e3813e93bd1299044e83c,No
34,2,5,5,http://www.thehindu.com/business/Economy/imported-onion-arrive-from-pakistan/article965607.ece,1ef751d9a4b526b6940ef34a9b8d8eb5,No
35,2,5,6,http://www.thehindu.com/news/national/karnataka/angry-farmers-block-road-in-hubli-after-onion-prices-crash/article5150972.ece,2adabae49976d71c74e5297b7cde73d5,No
36,2,5,7,http://www.thehindu.com/news/cities/Tiruchirapalli/small-onions-from-karnataka-may-lower-prices-in-tiruchi/article4787056.ece,f85552c79c1d70cfc1b09f0f007cadf7,No
37,2,5,8,http://www.thehindu.com/news/national/andhra-pradesh/onion-arrives-but-in-poor-quality/article7491646.ece,f4f93567586b542ae10ab39b2af7dd11,No
38,2,5,9,http://www.thehindu.com/business/agri-business/centre-hikes-support-price-of-rabi-pulses-to-boost-production/article7847230.ece,164d322936c2a1722ac20ff38939786c,No
39,2,5,10,http://www.thehindu.com/business/Economy/inflation-rises-to-486-in-june/article4917124.ece,e58280c33a06347b8df08ecd630d1af8,No
40,2,2,1,http://www.thehindu.com/news/cities/Delhi/onion-prices-soars-to-rs-60-per-kg-in-delhi/article5012426.ece,9b40870b870bff3ad2656383b9a43769,No
41,2,2,2,http://www.thehindu.com/news/national/other-states/govt-reduces-onion-prices/article7532702.ece,db40f765cb11972744b94ea333e5ff25,No
42,2,2,3,http://www.thehindu.com/business/wholesale-onion-prices-fall-by-rs-5kg-in-delhi/article5038428.ece,8e4e99b17c8f40d5b6034758ff3cd8e4,No
43,2,2,4,http://www.thehindu.com/business/agri-business/wholesale-onion-prices-fall-below-rs-30kg-at-lasalgaon/article7757520.ece,e46f2a1d148ebf2a0cb6b7d8af5f3b9f,No
44,2,2,5,http://www.thehindu.com/news/national/onion-prices-come-down-with-new-crop-arrival/article5160012.ece,f80cd46a1811c7084b7ca56865446942,No
