index,sourceid,pagenumber,pos_on_page,exact_url,hash_url,opinion_section
1,4,6,1,http://timesofindia.indiatimes.com/city/mumbai/Sharad-Pawars-speculation-leads-to-onion-price-increase-yet-again/articleshow/22673599.cms,ad714a3a9a06d640168d9959619315e5,No
2,4,6,2,http://timesofindia.indiatimes.com/city/mumbai/New-crop-brings-onion-prices-down-in-Mumbai/articleshow/49234244.cms,2530db39456c9c2c0769e3c84ba1539c,No
3,4,6,3,http://timesofindia.indiatimes.com/city/aurangabad/Fresh-onion-crop-in-but-prices-shoot/articleshow/49562826.cms,c13810b21f621a1d63c0e5ca7e99e4fb,No
4,4,6,4,http://timesofindia.indiatimes.com/city/goa/Onion-prices-up-by-30/articleshow/48336622.cms,8a663eec54ef29ed714ce2c03b6ba8fe,No
5,4,6,5,http://timesofindia.indiatimes.com/city/mumbai/Onion-prices-drop-as-new-cheaper-produce-hits-mkt/articleshow/48949049.cms,c72638f859cf4c1a58cd54f1daacddd8,No
6,4,6,6,http://timesofindia.indiatimes.com/city/mumbai/Onion-prices-fall-to-4-year-low-retail-at-Rs-10/articleshow/51172315.cms,1ac480b5d1ba0037974af8754e1b6fdf,No
7,4,6,7,http://timesofindia.indiatimes.com/india/Govt-to-check-onion-prices-with-imports/articleshow/38282324.cms,fe62254d8cc59695ef587c0fdfa8d61a,No
8,4,6,8,http://timesofindia.indiatimes.com/city/madurai/Onion-prices-begin-to-fall-in-Madurai-region/articleshow/49070392.cms,546925d38bf5d4f053b35ea9439333a4,No
9,4,6,9,http://timesofindia.indiatimes.com/india/Onion-prices-80-higher-than-last-year/articleshow/17774280.cms,047fc3e58c3172bf035bd3b9bbaf0ace,No
10,4,6,10,http://timesofindia.indiatimes.com/business/india-business/Wholesale-onion-prices-drop-to-seasons-lowest-at-Rs-12-per-kg/articleshow/27377770.cms,e07a1cf84f24c6b682f477e6307cb5c4,No
11,4,10,1,http://timesofindia.indiatimes.com/city/delhi/Safal-corrects-onion-prices/articleshow/48445235.cms,a3f273dd1d380df03736d887a9a4a7e6,No
12,4,10,2,http://timesofindia.indiatimes.com/city/mumbai/700kg-onions-stolen-from-a-cart-at-Mumbais-Sion-vegetable-market/articleshow/48625790.cms,62971e21540e745c1f88492a858d53ce,No
13,4,10,3,http://timesofindia.indiatimes.com/business/india-business/Wholesale-onion-price-dips-to-5-per-kg-in-Mumbai/articleshow/30082568.cms,3c00eb67d8c7d581d5299b342b6134d8,No
14,4,10,4,http://timesofindia.indiatimes.com/city/nashik/Lasalgaon-onion-prices-at-record-4-month-low/articleshow/49967111.cms,61c0b6f92e0314cc2308dd954679f410,No
15,4,10,5,http://timesofindia.indiatimes.com/city/kanpur/Prices-of-onion-fall-by-Rs-25/articleshow/7248892.cms,a36d549a3134565d10e4c7fdc1bc568c,No
16,4,10,6,http://timesofindia.indiatimes.com/city/nashik/At-2100/quintal-onion-prices-hit-seasons-low/articleshow/49683133.cms,412fc54e3e4b5b462d92aa95973b344e,No
17,4,10,7,http://timesofindia.indiatimes.com/city/bhubaneswar/Onion-sold-at-45/kg-in-Bhubaneswar/articleshow/48295047.cms,4cbc054760bc241875f5be5bf43c19c1,No
18,4,10,8,http://timesofindia.indiatimes.com/city/delhi/Price-control-10k-tonnes-of-onions-to-be-procured/articleshow/48220591.cms,80011feff11c3b165e2d93a8b4a27b1f,No
19,4,10,9,http://timesofindia.indiatimes.com/city/delhi/Delhi-govt-bought-onions-for-Rs-33-per-kg-and-sold-it-for-Rs-3-less/articleshow/49034005.cms,4d753c6212a7167ad895e72c72cf225c,No
20,4,10,10,http://timesofindia.indiatimes.com/city/mumbai/Veggies-are-cheaper-tomato-cheapest-but-onions-as-costly/articleshow/48460103.cms,5834a7f9a0dd91f457257abd107a49e1,No
21,4,1,1,http://timesofindia.indiatimes.com/india/Onion-prices-in-Delhi-wholesale-markets-down-Govt/articleshow/48672775.cms,09f738d0228df35b2f4753652e7ed578,No
22,4,1,2,http://timesofindia.indiatimes.com/india/Panic-grips-Union-govt-as-onion-price-hits-Rs-100-a-kg/articleshow/24563164.cms,adca384c0677d725df912b7cff881937,No
23,4,1,3,http://timesofindia.indiatimes.com/india/Onion-price-rise-may-be-due-to-hoarding-Centre/articleshow/22672225.cms,f420c86952655dd68b2952c4007de1ef,No
24,4,1,4,http://timesofindia.indiatimes.com/india/Onion-prices-up-govt-to-import-10000-tonne/articleshow/48321777.cms,0828207df72c0506f0736fe986cfd9d8,No
25,4,1,5,http://timesofindia.indiatimes.com/business/india-business/Onions-pulses-dearer-but-inflation-rates-decline/articleshow/48959351.cms,362dee0dd636d44c0a21d8998830c9da,No
26,4,1,6,http://timesofindia.indiatimes.com/business/india-business/Wholesale-onion-price-soars-70-in-a-month/articleshow/48190324.cms,7718cdc3018c7588c0a8c9d963ec8ad6,No
27,4,1,7,http://timesofindia.indiatimes.com/city/delhi/Onion-prices-soar-selling-at-up-to-Rs-80/kg/articleshow/21793386.cms,256c1d9be7a66bb7128f4c5e6e1b28aa,No
28,4,1,8,http://timesofindia.indiatimes.com/business/india-business/Government-slashes-minimum-export-price-of-onions-to-400-per-tonne/articleshow/50313547.cms,bf0250d1102682a8e023f44e3f87f120,No
