2006-01-01,4,13,17.9
2006-01-02,4.7833333333,13,460.4
2006-01-03,4.6363636364,11,746.35
2006-01-04,4.6888888889,11,842.96
2006-01-05,4.785,11,914.93
2006-01-06,4.45,9,914.85
2006-01-07,4.6706123737,9,777.0860714286
2006-01-08,4.4834429113,9,634.9095153061
2006-01-09,4.4993554164,9,884.057766035
2006-01-10,4.5417744799,9.2142857143,671.5124449448
2006-01-11,4.3438583117,9.5816326531,594.6835634055
2006-01-12,4.3894800665,9.1629008746,745.069477074
2006-01-13,4.3670218607,9.1693825489,791.593316407
2006-01-14,4.4333014974,9.1474869102,546.9001399873
2006-01-15,4.4483915983,9.2082339912,733.6161085038
2006-01-16,4.3615312794,9.1618079407,765.5678078416
2006-01-17,4.3670473783,9.1434838318,739.9532291533
2006-01-18,4.2495009375,9.1231073344,773.2956920712
2006-01-19,4.2315059744,9.1140126168,715.3947661233
2006-01-20,4.2125582429,9.1043902291,748.1159197939
2006-01-21,4.1241956918,9.1587674497,796.7951260468
2006-01-22,3.8510042183,9.1376324714,585.2568129323
2006-01-23,3.9721834732,8.5988903337,846.4274678096
2006-01-24,3.886396154,8.4850313362,767.5304414074
2006-01-25,3.8716614535,8.3662237498,743.2467579669
2006-01-26,3.5862373452,8.9573174253,658.9078298843
2006-01-27,3.6671691846,8.2766375728,793.2790603611
2006-01-28,3.6787645455,8.7166816912,607.7526291511
2006-01-29,3.47726224,8.5535858474,552.2561078848
2006-01-30,3.6255180001,8.1821751765,501.6290529108
2006-01-31,3.61384361,8.1013742279,455.5369632969
2006-02-01,3.5902346418,8.0140750816,491.5394754976
2006-02-02,3.8238993892,7.9175278869,391.7246615511
2006-02-03,3.6043673932,7.8339792341,398.3284001298
2006-02-04,3.4353203194,8.207102292,377.0134540758
2006-02-05,3.6332865663,8.0611365212,457.2600607109
2006-02-06,3.4538024391,7.7721555563,360.6618262182
2006-02-07,3.4275594408,7.7185033453,352.7881812913
2006-02-08,3.3906944133,7.6651120418,298.27322449
2006-02-09,3.3766800418,7.9382151596,282.4718945958
2006-02-10,3.3709675304,7.6240966625,260.6846167622
2006-02-11,3.3034126004,7.8379749237,370.5413688762
2006-02-12,3.4094655847,7.7517481885,326.682430853
2006-02-13,4.106579108,7.3235758324,251.794293236
2006-02-14,3.3779432165,7.2309259993,266.1862233269
2006-02-15,3.3001703601,7.1325271845,247.4815630108
2006-02-16,3.2843122914,7.0285495539,287.2397255256
2006-02-17,3.3021635539,6.9310655729,219.6546489931
2006-02-18,3.1258932502,7.3541818345,202.7636593191
2006-02-19,3.3452286806,7.1870550177,178.7294832823
2006-02-20,3.2237754772,6.8642546643,166.6907970781
2006-02-21,3.203487674,6.8042983365,156.9868498999
2006-02-22,3.1468584751,6.7445896291,142.1618935496
2006-02-23,3.1190474009,6.6838086575,232.3871148781
2006-02-24,3.1196501614,6.6201446178,150.1626633477
2006-02-25,3.1492433761,6.8991584568,134.9564555648
2006-02-26,3.1758671921,6.7798215166,166.0080825267
2006-02-27,3.03902503,6.5714358365,214.414050286
2006-02-28,3.1189058359,6.5320356153,139.8298089271
2006-03-01,3.0185038138,6.4925090073,194.4847586917
2006-03-02,3.0734782383,6.4521036267,207.4397721424
2006-03-03,3.04977612,6.4098720806,301.757015482
2006-03-04,2.9307392116,6.5931360524,399.3269856518
2006-03-05,2.8289134631,6.5156200104,238.8726437181
2006-03-06,3.046522482,6.3775804699,236.327410544
2006-03-07,2.9404088466,6.3515164137,226.9132490673
2006-03-08,2.9073559805,6.3253834578,321.4229243592
2006-03-09,2.8530898206,6.2986860325,376.0390125574
2006-03-10,2.880181707,6.2707934508,241.6727213618
2006-03-11,2.8397463655,6.3920001884,277.0757250144
2006-03-12,2.941427728,6.3406782813,272.7028862594
2006-03-13,2.9547291176,6.2494852093,236.3390344119
2006-03-14,2.8521814125,6.2322656889,231.0185946923
2006-03-15,2.8792550358,6.307969293,290.2240906907
2006-03-16,3.0205111204,6.2172826325,200.9973744794
2006-03-17,2.8677925021,6.1998006212,204.7956314239
2006-03-18,2.8952533676,6.2751824883,193.7729915308
2006-03-19,2.9142225545,6.2484165953,235.2561866911
2006-03-20,2.7923213221,6.1844880954,360.7772679646
2006-03-21,2.8009122247,6.1711313544,223.4657943317
2006-03-22,2.8255652287,6.1566187973,194.5161951606
2006-03-23,2.7801739768,6.1438834758,228.4473353228
2006-03-24,2.7530600481,6.1305857223,264.2684047812
2006-03-25,2.7343068914,6.1897940253,229.7382139843
2006-03-26,2.7924618519,6.1653179253,262.0797328383
2006-03-27,2.7121825133,6.1206871409,189.6136884535
2006-03-28,2.6774187583,6.1123582674,182.6053475357
2006-03-29,2.6708745454,6.1040462145,174.2167230597
2006-03-30,2.7391429407,6.0955337406,232.8994720692
2006-03-31,2.6715958407,6.0866199244,309.7193065313
2006-04-01,2.6547453958,6.1254572559,175.8894015759
2006-04-02,2.5740238217,6.1089236841,196.4001922533
2006-04-03,2.6771732123,6.0797985715,228.4843784781
2006-04-04,2.698193616,6.0742932979,181.2763723297
2006-04-05,2.6783104948,6.0687711692,166.2388280443
2006-04-06,2.6526483178,6.0971168592,225.6003963914
2006-04-07,2.7276617686,6.0645153761,204.0258903359
2006-04-08,2.7005501883,6.0864176551,152.9860965124
2006-04-09,2.6848127624,6.0777210276,199.0515481454
2006-04-10,2.7691083625,6.0592736486,157.0142339418
2006-04-11,2.7234823992,6.0776305469,138.4323150808
2006-04-12,2.8805467742,6.0556584361,158.6600614063
2006-04-13,2.7021545187,6.0510611327,120.9904145502
